id,title,cluster_label,best_algorithm,best_k
1604271,See Through the Hollowed Blue Hellebore,0,MiniBatchKMeans,2
1604270,Sense of Water,0,MiniBatchKMeans,2
1604269,Shadows,0,MiniBatchKMeans,2
1604254,A Smorfia,0,MiniBatchKMeans,2
1604250,Memoria~,0,MiniBatchKMeans,2
1604246,Statues Also Die?,0,MiniBatchKMeans,2
1604243,Super Afghan Gym,0,MiniBatchKMeans,2
1604235,This Is Your Captain Speaking,0,MiniBatchKMeans,2
1604233,"There was One, There was None",0,MiniBatchKMeans,2
1604232,TRACE,0,MiniBatchKMeans,2
1604230,Tra Fasi,0,MiniBatchKMeans,2
1604228,Sovereign Son,0,MiniBatchKMeans,2
1604222,She Cries (The Holy Water),0,MiniBatchKMeans,2
1604219,Rain in August,0,MiniBatchKMeans,2
1604217,Oxygen,0,MiniBatchKMeans,2
1604195,one minute movies: The low-cost time machine,0,MiniBatchKMeans,2
1604094,Shards,0,MiniBatchKMeans,2
1604092,"Last Seen, Long Time Ago",0,MiniBatchKMeans,2
1604091,"Unruly, Undead, Un Un: a place safe from all of this chaos",0,MiniBatchKMeans,2
1604084,WASTE,0,MiniBatchKMeans,2
1604082,Welcome to Set,0,MiniBatchKMeans,2
1604080,What is left behind,0,MiniBatchKMeans,2
1604074,You were standing on the shore,0,MiniBatchKMeans,2
1604073,Deep Cobalt,0,MiniBatchKMeans,2
1604072,The Next World,0,MiniBatchKMeans,2
1604069,No-da-ji Land,0,MiniBatchKMeans,2
1604066,Steaming Old Buddies,0,MiniBatchKMeans,2
1604063,Object of Riddle,0,MiniBatchKMeans,2
1604046,Panorama Chemours – River reflections,0,MiniBatchKMeans,2
1604009,The Laptop Is Purring on My Lap and I Am Lonely Like a Cat,0,MiniBatchKMeans,2
1604002,The Liminal Zone,0,MiniBatchKMeans,2
1603999,Mud,0,MiniBatchKMeans,2
1603998,Marsh Birds of the Upper Nile,0,MiniBatchKMeans,2
1603995,Mirror Martyr Mirror Moon,0,MiniBatchKMeans,2
1603984,Home is where the heart is,0,MiniBatchKMeans,2
1603983,Horsepower,0,MiniBatchKMeans,2
1603980,I Am a River,0,MiniBatchKMeans,2
1603979,"I Am the Film Motherfucker, but I'm Real",0,MiniBatchKMeans,2
1603972,Inheemse Surinamers in Rotterdam,0,MiniBatchKMeans,2
1603963,JUGGERNAUT,0,MiniBatchKMeans,2
1603955,A Flock of Rotations,0,MiniBatchKMeans,2
1603954,"Forget the Director, This Is Emmy’s Cut!",0,MiniBatchKMeans,2
1603950,A Brighter Future,0,MiniBatchKMeans,2
1603949,The Garden,0,MiniBatchKMeans,2
1603947,Little Problems,0,MiniBatchKMeans,2
1603946,God Sleeps on Sundays,0,MiniBatchKMeans,2
1603944,Golden Island,0,MiniBatchKMeans,2
1602390,Romanticisme,0,MiniBatchKMeans,2
1601623,CUL-DE-SAC !,0,MiniBatchKMeans,2
1601615,DETRITUS,0,MiniBatchKMeans,2
1601612,DISSONANCE,0,MiniBatchKMeans,2
1601611,Domestic Demon,0,MiniBatchKMeans,2
1601603,Dutch Dreams,0,MiniBatchKMeans,2
1601507,Whispers of a Burning Scent,0,MiniBatchKMeans,2
1600625,水托邦 (Hydrotopia),0,MiniBatchKMeans,2
1600623,The Cloud Factory,0,MiniBatchKMeans,2
1600599,In This Together,0,MiniBatchKMeans,2
1600597,Insomnia,0,MiniBatchKMeans,2
1600589,Movement Song,0,MiniBatchKMeans,2
1600583,Hennie's Theme Park,0,MiniBatchKMeans,2
1600565,Where Comes Mulan,0,MiniBatchKMeans,2
1600554,The Seoul Guardians,0,MiniBatchKMeans,2
